/obj/item/weapon/tool_upgrade/reinforcement/stick    blacklisted=0    spawn_value=5.85508   spawn_price=120   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool_upgrade/augment/hammer_addon    blacklisted=0    spawn_value=4.4841   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool_upgrade/augment/dampener    blacklisted=0    spawn_value=3.09588   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool_upgrade/augment/ai_tool    blacklisted=1    spawn_value=1.91201   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool_upgrade/augment/repair_nano    blacklisted=1    spawn_value=5.78   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool_upgrade/augment/hydraulic    blacklisted=1    spawn_value=5.78   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/tool_upgrade/augment/randomizer    blacklisted=0    spawn_value=1.21505   spawn_price=200   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/gun_upgrade/barrel/forged    blacklisted=0    spawn_value=8.33333   spawn_price=100   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/gun_upgrade/barrel/mag_accel    blacklisted=1    spawn_value=3.125   spawn_price=100   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/gun_upgrade/barrel/overheat    blacklisted=1    spawn_value=3.125   spawn_price=100   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/gun_upgrade/barrel/excruciator    blacklisted=0    spawn_value=1.92308   spawn_price=100   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/gun_upgrade/barrel/toxin_coater    blacklisted=1    spawn_value=8.33333   spawn_price=100   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/gun_upgrade/barrel/isotope_diffuser    blacklisted=1    spawn_value=8.33333   spawn_price=100   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/gun_upgrade/barrel/gauss    blacklisted=1    spawn_value=8.33333   spawn_price=100   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/gun_upgrade/muzzle/silencer    blacklisted=0    spawn_value=4.54545   spawn_price=100   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/gun_upgrade/trigger/dangerzone    blacklisted=0    spawn_value=5.88235   spawn_price=100   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/gun_upgrade/trigger/cop_block    blacklisted=0    spawn_value=5.88235   spawn_price=100   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/gun_upgrade/trigger/honker    blacklisted=1    spawn_value=8.33333   spawn_price=100   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/gun_upgrade/trigger/boom    blacklisted=1    spawn_value=8.33333   spawn_price=100   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/gun_upgrade/mechanism/overshooter    blacklisted=0    spawn_value=4.54545   spawn_price=100   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/gun_upgrade/mechanism/glass_widow    blacklisted=1    spawn_value=1.92308   spawn_price=100   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/gun_upgrade/mechanism/weintraub    blacklisted=0    spawn_value=3.125   spawn_price=100   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/gun_upgrade/mechanism/reverse_loader    blacklisted=1    spawn_value=8.33333   spawn_price=100   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/gun_upgrade/mechanism/battery_shunt    blacklisted=1    spawn_value=8.33333   spawn_price=100   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/gun_upgrade/mechanism/overdrive    blacklisted=1    spawn_value=8.33333   spawn_price=100   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/gun_upgrade/mechanism/psionic_catalyst    blacklisted=1    spawn_value=8.33333   spawn_price=100   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/gun_upgrade/scope/watchman    blacklisted=0    spawn_value=8.33333   spawn_price=100   prob_accompanying_obj=100    accompanying_objs=nothing
/obj/item/weapon/gun_upgrade/scope/killer    blacklisted=1    spawn_value=8.33333   spawn_price=100   prob_accompanying_obj=100    accompanying_objs=nothing
